year,player_id,name_full,name_last,name_first,name_mneumonic,class,position,jersey_number,team_id
2021,1733316,"carter, traci",carter,traci,traci carter,Sr,G,25,272
2021,1735852,"justice, camron",justice,camron,camron justice,Sr,G,55,772
2021,1737164,"moffe, tyler",moffe,tyler,tyler moffe,Sr,G,13,141
2021,1741963,"coleman-lands, jalen",coleman-lands,jalen,jalen coleman-lands,Sr,G,55,328
2021,1746763,"scott, frederick",scott,frederick,frederick scott,Sr,F,13,67
2021,1747873,"walton, k.j.",walton,k.j.,k.j. walton,Sr,G,1,5
2021,1800152,"barnes, elijah",barnes,elijah,elijah barnes,Sr,F,31,554
2021,1800249,"schwieger, ryan",schwieger,ryan,ryan schwieger,Sr,F,13,371
2021,1800460,"anderson, josh",anderson,josh,josh anderson,Sr,G,4,772
2021,1800642,"west, jarrod",west,jarrod,jarrod west,Sr,G,13,367
2021,1800644,"george, darius",george,darius,darius george,Sr,F,2,388
2021,1800653,"wright, hameir",wright,hameir,hameir wright,Sr,F,44,497
2021,1842809,"champion, chuck",champion,chuck,chuck champion,Sr,G,30,14
2021,1842931,"moore, taze",moore,taze,taze moore,Sr,G,4,288
2021,1842933,"edler-davis, justin",edler-davis,justin,justin edler-davis,Sr,G,10,94
2021,1842936,"lee, greg",lee,greg,greg lee,Sr,F,5,539
2021,1842941,"gray, juwan",gray,juwan,juwan gray,Sr,F,12,711
2021,1843023,"carius, will",carius,will,will carius,Sr,F,25,771
2021,1843500,"malone-key, xzavier",malone-key,xzavier,xzavier malone-key,Sr,G,5,528
2021,1843502,"vaughn, dimencio",vaughn,dimencio,dimencio vaughn,Sr,F,14,576
2021,1843933,"nze, bryce",nze,bryce,bryce nze,Sr,F,10,87
2021,1844135,"ingram, jailyn",ingram,jailyn,jailyn ingram,Sr,F,0,257
2021,1844511,"taylor, kellon",taylor,kellon,kellon taylor,Sr,F,12,402
2021,1844607,"d'avanzo, anthony",d'avanzo,anthony,anthony d'avanzo,Sr,F,33,659
2021,1844642,"green, xavier",green,xavier,xavier green,Sr,G,11,392
2021,1844692,"djogo, nikola",djogo,nikola,nikola djogo,Sr,G,13,500
2021,1844753,"brown, clevon",brown,clevon,clevon brown,Sr,F,15,231
2021,1844754,"willis, payton",willis,payton,payton willis,Sr,G,0,428
2021,1844764,"sheppard, jeremy",sheppard,jeremy,jeremy sheppard,Sr,G,2,572
2021,1844798,"francois, perry",francois,perry,perry francois,Sr,F,10,458
