Team_id,Team,Conference
454,Murray St. ,OVC
29,Arizona ,Pac-12
260,Gonzaga ,WCC
649,South Dakota St. ,Summit League
328,Kansas ,Big 12
288,Houston ,AAC
37,Auburn ,SEC
738,Vermont ,America East
193,Duke ,ACC
556,Providence ,Big East
156,Colorado St. ,Mountain West
51,Baylor ,Big 12
173,Davidson ,Atlantic 10
472,New Mexico St. ,WAC
739,Villanova ,Big East
363,Longwood ,Big South
559,Purdue ,Big Ten
497,North Texas ,C-USA
748,Wagner ,NEC
485,Norfolk St. ,MEAC
66,Boise St. ,Mountain West
693,Chattanooga ,SoCon
440,Montana St. ,Big Sky
694,Tennessee ,SEC
9,UAB ,C-USA
110,UCLA ,Pac-12
554,Princeton ,Ivy League
334,Kentucky ,SEC
610,Saint Mary's (CA) ,WCC
657,Southern California ,Pac-12
709,Toledo ,MAC
14927,Belmont ,OVC
310,Iona ,MAAC
371,Loyola Chicago ,MVC
796,Wisconsin ,Big Ten
31,Arkansas ,SEC
460,UNCW ,CAA
457,North Carolina ,ACC
1104,Grand Canyon ,WAC
711,Towson ,CAA
811,Wyoming ,Mountain West
700,Texas Tech ,Big 12
663,SMU ,AAC
670,Texas St. ,Sun Belt
312,Iowa ,Big Ten
626,San Diego St. ,Mountain West
1356,Seattle U ,WAC
792,Winthrop ,Big South
519,Ohio ,MAC
749,Wake Forest ,ACC
5,Akron ,MAC
366,Louisiana Tech ,C-USA
629,San Francisco ,WCC
415,Miami (FL) ,ACC
419,Middle Tenn. ,C-USA
301,Illinois ,Big Ten
493,North Dakota St. ,Summit League
596,St. Bonaventure ,Atlantic 10
164,UConn ,Big East
2,Abilene Christian ,WAC
189,Drake ,MVC
81,Bryant ,NEC
676,SFA ,WAC
740,VCU ,Atlantic 10
77,BYU ,WCC
175,Dayton ,Atlantic 10
513,Notre Dame ,ACC
316,Jacksonville ,ASUN
331,Kent St. ,MAC
669,Missouri St. ,MVC
444,Morehead St. ,OVC
697,Texas A&M ,SEC
355,Liberty ,ASUN
404,Memphis ,AAC
26172,A&M-Corpus Christi ,Southland
153,Colgate ,Patriot
169,Creighton ,Big East
609,Saint Louis ,Atlantic 10
667,Southern Utah ,Big Sky
97,Cal St. Fullerton ,Big West
283,Hofstra ,CAA
315,Jacksonville St. ,ASUN
726,Navy ,Patriot
625,Samford ,SoCon
635,Seton Hall ,Big East
575,Richmond ,Atlantic 10
28755,FGCU ,ASUN
244,Furman ,SoCon
365,LSU ,SEC
617,Saint Peter's ,MAAC
703,Texas ,Big 12
148,Cleveland St. ,Horizon
96,Fresno St. ,Mountain West
416,Michigan St. ,Big Ten
742,Virginia Tech ,ACC
812,Xavier ,Big East
157,Colorado ,Pac-12
483,Nicholls ,Southland
308,Purdue Fort Wayne ,Horizon
631,Santa Clara ,WCC
646,South Alabama ,Sun Belt
758,Weber St. ,Big Sky
86,Buffalo ,MAC
68,Boston U. ,Patriot
180,Delaware ,CAA
311,Iowa St. ,Big 12
505,Northern Ky. ,Horizon
514,Oakland ,Horizon
518,Ohio St. ,Big Ten
716,Troy ,Sun Belt
504,UNI ,MVC
30024,Utah Valley ,WAC
30,Arkansas St. ,Sun Belt
254,Georgia St. ,Sun Belt
439,Monmouth ,MAAC
698,TCU ,Big 12
2707,Kansas City ,Summit League
527,Oral Roberts ,Summit League
650,South Dakota ,Summit League
813,Yale ,Ivy League
810,Wright St. ,Horizon
277,Hawaii ,Big West
104,UC Santa Barbara ,Big West
99,Long Beach St. ,Big West
306,Indiana ,Big Ten
746,Virginia ,ACC
128,UCF ,AAC
109,UC Irvine ,Big West
754,Washington St. ,Pac-12
387,Marquette ,Big East
699,Texas Southern ,SWAC
772,Western Ky. ,C-USA
2915,Wofford ,SoCon
235,Florida ,SEC
704,UTEP ,C-USA
690,Temple ,AAC
1092,Gardner-Webb ,Big South
648,South Carolina ,SEC
683,Stony Brook ,America East
502,Northern Colo. ,Big Sky
167,Cornell ,Ivy League
8,Alabama ,SEC
149,Coastal Carolina ,Sun Belt
624,Sam Houston ,WAC
529,Oregon ,Pac-12
111,UC Riverside ,Big West
441,Montana ,Big Sky
474,New Orleans ,Southland
587,Rutgers ,Big Ten
391,UMBC ,America East
465,UNLV ,Mountain West
27,App State ,Sun Belt
229,Fla. Atlantic ,C-USA
418,Michigan ,Big Ten
551,Portland ,WCC
655,Southeastern La. ,Southland
817,Youngstown St. ,Horizon
115,Campbell ,Big South
290,Howard ,MEAC
72,Bradley ,MVC
458,Charlotte ,C-USA
234,Florida St. ,ACC
665,Southern U. ,SWAC
140,Cincinnati ,AAC
522,Oklahoma ,Big 12
108,UC Davis ,Big West
469,New Hampshire ,America East
782,Wichita St. ,AAC
361,LIU ,NEC
1014,Col. of Charleston ,CAA
603,St. John's (NY) ,Big East
456,UNC Asheville ,Big South
459,UNC Greensboro ,SoCon
756,Washington ,Pac-12
207,Eastern Wash. ,Big Sky
430,Mississippi St. ,SEC
731,Utah St. ,Mountain West
736,Vanderbilt ,SEC
191,Drexel ,CAA
317,James Madison ,CAA
639,Siena ,MAAC
671,Louisiana ,Sun Belt
489,N.C. Central ,MEAC
659,Southern Ill. ,MVC
147,Clemson ,ACC
17,Alcorn ,SWAC
236,Fordham ,Atlantic 10
674,Stanford ,Pac-12
741,VMI ,SoCon
771,Western Ill. ,Summit League
196,East Carolina ,AAC
381,Manhattan ,MAAC
521,Oklahoma St. ,Big 12
275,Harvard ,Ivy League
406,Mercer ,SoCon
574,Rice ,C-USA
688,Syracuse ,ACC
768,West Virginia ,Big 12
725,Army West Point ,Patriot
176,DePaul ,Big East
509,Northwestern ,Big Ten
